"DEPCOM","millesime","nb_logt_total","nb_ls_actif","nb_ls_qpv","nb_ls_coll","nb_ls_ind","nb_ls_etu","nb_ls_loue","nb_ls_vacant","nb_ls_vacant_3","nb_ls_vide","nb_ls_association","nb_ls_autre","num_mob","denom_mob","nb_mes","nb_ls_age_0_5","nb_ls_age_5_10","nb_ls_age_10_20","nb_ls_age_20_40","nb_ls_age_40_60","nb_ls_age_60_plus","nb_ls_dpe_realise","nb_ls_dpe_new_ener_A","nb_ls_dpe_new_ener_B","nb_ls_dpe_new_ener_C","nb_ls_dpe_new_ener_D","nb_ls_dpe_new_ener_E","nb_ls_dpe_new_ener_F","nb_ls_dpe_new_ener_G","somme_loyer","somme_surface"
"31509",2025,3,3,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,1,2,0,1048,166
"31512",2025,36,36,0,0,36,0,31,5,5,0,0,0,1,36,0,0,15,0,0,2,19,36,15,0,0,1,0,1,0,11855,2352
"31513",2025,8,8,0,8,0,0,8,0,0,0,0,0,3,8,0,0,0,0,0,8,0,8,0,0,0,5,3,0,0,3050,444
"31516",2025,103,103,0,100,3,0,99,4,1,0,0,0,8,98,5,60,43,0,0,0,0,58,0,0,8,0,0,0,0,45766,6215
"31517",2025,100,100,0,14,86,0,97,3,1,0,0,0,9,100,0,0,0,71,29,0,0,100,0,3,43,9,6,0,0,46419,7250
"31523",2025,125,125,0,53,72,0,106,7,7,0,0,12,10,113,0,0,0,14,31,70,10,109,0,1,9,62,14,0,1,40000,5975
"31525",2025,18,18,0,8,10,0,18,0,0,0,0,0,0,18,0,0,0,18,0,0,0,18,0,0,18,0,0,0,0,8260,1212
"31526",2025,466,466,0,345,121,0,442,18,0,2,1,3,39,439,21,0,117,328,20,1,0,443,0,23,123,28,0,0,0,220937,30721
"31528",2025,4,4,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,1849,328
"31532",2025,13,13,0,5,8,0,13,0,0,0,0,0,3,13,0,0,0,11,2,0,0,13,0,0,4,6,2,1,0,5932,1144
"31533",2025,64,64,0,47,17,0,62,1,1,1,0,0,6,63,0,0,25,18,19,2,0,64,0,1,18,2,0,0,0,28610,4133
"31535",2025,6,6,0,6,0,0,6,0,0,0,0,0,1,6,0,0,0,6,0,0,0,6,0,0,0,4,2,0,0,2671,551
"31541",2025,131,131,0,90,41,0,129,1,0,0,0,1,7,57,73,101,26,4,0,0,0,65,46,5,4,0,0,0,0,72233,8957
"31547",2025,648,589,0,358,231,0,581,5,1,0,1,2,60,586,0,134,260,69,94,20,12,484,61,29,140,13,2,0,0,275813,38057
"31551",2025,24,24,0,8,16,0,22,1,0,0,0,1,2,23,0,0,0,0,24,0,0,24,12,12,0,0,0,0,0,11591,1807
"31554",2025,2,2,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,1097,170
"31555",2025,54310,52889,17550,42253,2226,8410,43442,883,374,1872,1222,5470,4178,43228,1109,5188,6575,11292,10083,11410,8341,49109,1153,5124,14202,4178,1460,273,20,19024867,2599928
"31556",2025,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,315,88
"31557",2025,2370,2370,0,2104,266,0,2281,19,4,13,43,14,183,2235,65,304,767,376,620,223,80,2329,24,106,565,104,14,2,0,1062343,143413
"31561",2025,737,737,0,641,96,0,724,6,2,3,3,1,54,638,92,206,311,59,122,2,37,737,168,53,121,29,1,0,0,343378,44024
"31565",2025,16,16,0,2,14,0,15,1,0,0,0,0,1,16,0,0,0,16,0,0,0,16,0,0,14,2,0,0,0,7353,1239
"31572",2025,133,133,0,91,42,0,133,0,0,0,0,0,9,120,13,28,65,12,27,1,0,132,23,4,71,11,0,0,0,57429,8243
"31573",2025,71,71,0,60,11,0,70,0,0,1,0,0,3,70,0,36,4,16,7,0,8,59,12,12,0,15,0,0,0,28965,4367
"31574",2025,94,94,0,0,94,0,94,0,0,0,0,0,5,94,0,32,24,38,0,0,0,94,20,0,0,0,0,0,0,43731,6792
"31578",2025,6,6,0,6,0,0,6,0,0,0,0,0,1,4,2,6,0,0,0,0,0,6,0,1,5,0,0,0,0,4335,450
"31579",2025,3,3,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,1,2,0,0,915,161
"31580",2025,39,39,0,31,8,0,39,0,0,0,0,0,7,39,0,4,35,0,0,0,0,36,0,0,5,1,0,0,0,18543,2647
"31581",2025,48,48,0,21,27,0,47,0,0,1,0,0,3,47,0,0,12,24,12,0,0,48,0,0,3,0,0,0,0,23149,3707
"31582",2025,193,193,0,87,106,0,190,2,1,0,0,1,17,192,0,38,48,40,24,43,0,161,23,15,45,50,0,0,0,85812,13699
"31583",2025,4,4,0,4,0,0,4,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,1808,288
"31584",2025,285,285,0,215,70,0,264,6,0,0,0,15,31,242,28,28,38,35,63,37,84,257,0,1,226,25,4,0,0,111249,17795
"31587",2025,21,21,0,0,21,0,21,0,0,0,0,0,1,21,0,0,2,19,0,0,0,18,2,5,2,0,0,0,0,10695,1645
"31588",2025,918,917,0,722,195,0,884,19,12,6,6,2,65,903,0,223,317,138,210,17,12,787,70,39,118,42,4,1,0,423095,57138
"31589",2025,16,16,0,0,16,0,16,0,0,0,0,0,0,16,0,5,0,11,0,0,0,11,0,0,0,0,0,0,0,8880,1425
"31592",2025,41,41,0,5,36,0,41,0,0,0,0,0,5,41,0,0,23,0,18,0,0,41,0,2,15,0,0,0,0,17937,2700
"32001",2025,45,45,0,12,33,0,40,4,0,1,0,0,3,44,0,0,0,0,7,28,10,45,0,0,18,27,0,0,0,15189,2897
"32012",2025,8,8,0,8,0,0,7,1,0,0,0,0,2,8,0,0,3,0,5,0,0,8,0,0,1,2,0,0,0,2493,419
"32013",2025,2039,2039,893,1682,288,69,1951,22,7,30,18,18,190,1951,23,107,107,313,260,825,427,1990,17,76,1172,197,11,0,6,725953,127738
"32027",2025,41,41,0,7,34,0,40,1,0,0,0,0,3,41,0,0,7,6,21,7,0,41,0,0,1,2,0,0,0,17933,3049
"32029",2025,24,24,0,8,16,0,23,0,0,0,0,1,5,23,0,0,0,16,0,0,8,24,0,0,2,0,1,7,0,9719,1704
"32032",2025,7,7,0,7,0,0,7,0,0,0,0,0,3,7,0,0,0,0,7,0,0,7,0,0,1,3,0,0,0,2389,403
"32035",2025,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,562,98
"32036",2025,20,20,0,0,20,0,19,0,0,1,0,0,1,19,0,0,0,0,14,6,0,20,0,0,0,3,6,0,0,9127,1566
"32042",2025,5,5,0,1,4,0,5,0,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,2094,326
"32043",2025,6,6,0,6,0,0,5,1,0,0,0,0,1,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,1968,332
